caseId,caseNo,editorialType,figureId,tableId,assetType,proposedCaption,sourceType,sourceMaster,sourceTrace,evidenceClass,anonymizationRequired,unitCheck,permissionStatus,assetStatus,finalAssetPath,sha,pixelDimensions,maxPrintWidth300dpiMm,finalPage,notes
"CASE60","60","DEEP_DIVE_CANDIDATE","","CASE60-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE60_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","A","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE10; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE61","61","APPLICATION_CASE","CASE61-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE61_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","N/A","N/A","NO_VISUAL","","","","","","Do not generate a chart unless original/approved source data is linked."
"CASE61","61","APPLICATION_CASE","","CASE61-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE61_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","TABLE_CANDIDATE","","","","","","Recheck all values/units against approved final source before Word integration."
"CASE62","62","DEEP_DIVE_CANDIDATE","CASE62-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE62_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","A/C","YES","N/A","N/A","NO_VISUAL","","","","","","Cross-reference preferred to CASE10; do not create decorative/placeholder chart."
"CASE62","62","DEEP_DIVE_CANDIDATE","","CASE62-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE62_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","A/C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE10; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE63","63","DEEP_DIVE_CANDIDATE","CASE63-F01","","FIGURE","21·22·23호기 kW/RT와 부하율 비교","APPROVED_WEB_ASSET + APPROVED_FINAL_SOURCE","02_BOOK_SOURCE/CASE63_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","A","YES","SOURCE_LOCKED / PRINT_UNIT_CHECK_PENDING","BOOK_PRINT_PERMISSION_REVIEW","ASSET_EXISTS / 300DPI_OK_WITHIN_MAX_WIDTH","assets/case42-81-final/CASE63_FIG01_WEB.png","099172b2a61b1ef29ac2f5c4f598f7ce6b69a409","1511x852","127.9","","Same-project relation: CASE10 / RELATED_CHILLER_PLANT_METHODS. Avoid duplicate figure if current-book figure already explains same point."
"CASE63","63","DEEP_DIVE_CANDIDATE","","CASE63-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE63_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","A","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE10; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE64","64","DEEP_DIVE_CANDIDATE","CASE64-F01","","FIGURE","필요 6대·실제 8대·평균 부하율 75% 비교","APPROVED_WEB_ASSET + APPROVED_FINAL_SOURCE","02_BOOK_SOURCE/CASE64_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","B","YES","SOURCE_LOCKED / PRINT_UNIT_CHECK_PENDING","BOOK_PRINT_PERMISSION_REVIEW","ASSET_EXISTS / 300DPI_OK_WITHIN_MAX_WIDTH","assets/case42-81-final/CASE64_FIG01_WEB.png","a06e026d7210f8919b3c5ef2e13a075803bbea63","1511x852","127.9","","Same-project relation: CASE10 / RELATED_CHILLER_PLANT_METHODS. Avoid duplicate figure if current-book figure already explains same point."
"CASE64","64","DEEP_DIVE_CANDIDATE","","CASE64-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE64_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","B","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE10; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE65","65","APPLICATION_CASE","CASE65-F01","","FIGURE","보일러 2호기 vs 3호기 연료원단위 N㎥/ton 비교","APPROVED_WEB_ASSET + APPROVED_FINAL_SOURCE","02_BOOK_SOURCE/CASE65_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","A","YES","SOURCE_LOCKED / PRINT_UNIT_CHECK_PENDING","BOOK_PRINT_PERMISSION_REVIEW","ASSET_EXISTS / 300DPI_OK_WITHIN_MAX_WIDTH","assets/case42-81-final/CASE65_FIG02_WEB.png","48693a87a47fe1fa7a68ba2585a9fafe6c05cb38","1510x936","127.8","","Use only after book-specific permission/anonymization review."
"CASE65","65","APPLICATION_CASE","","CASE65-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE65_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","A","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","TABLE_CANDIDATE","","","","","","Recheck all values/units against approved final source before Word integration."
"CASE66","66","APPLICATION_CASE","CASE66-F01","","FIGURE","30 ton/h 1대 vs 15 ton/h × 2대 운전조합 Test 조건","APPROVED_WEB_ASSET + APPROVED_FINAL_SOURCE","02_BOOK_SOURCE/CASE66_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","A/C","YES","SOURCE_LOCKED / PRINT_UNIT_CHECK_PENDING","BOOK_PRINT_PERMISSION_REVIEW","ASSET_EXISTS / 300DPI_OK_WITHIN_MAX_WIDTH","assets/case42-81-final/CASE66_FIG02_WEB.png","83b4f3d38976ff740705148582c890bf28a9ba82","1511x852","127.9","","Use only after book-specific permission/anonymization review."
"CASE66","66","APPLICATION_CASE","","CASE66-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE66_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","A/C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","TABLE_CANDIDATE","","","","","","Recheck all values/units against approved final source before Word integration."
"CASE67","67","APPLICATION_CASE","CASE67-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE67_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","B/C","YES","N/A","N/A","NO_VISUAL","","","","","","Do not generate a chart unless original/approved source data is linked."
"CASE67","67","APPLICATION_CASE","","CASE67-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE67_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","B/C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","TABLE_CANDIDATE","","","","","","Recheck all values/units against approved final source before Word integration."
