caseNo,caseId,webTitle,batch,proposedPart,proposedChapter,proposedChapterTitle,placementStatus,evidenceStatus,auditFlags,sourceTrace,bookIncluded,bookPage,mappingStatus
"56","CASE56","냉동기 교체운전 Test를 통한 호기별 kW/RT 실측 비교 및 고효율 운전순서 결정","B_52_64","3","11","냉동기 Plant 최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"57","CASE57","5℃·13℃ 냉수계통 부하분담 최적화를 통한 냉동기 가동대수 및 반송동력 절감","B_52_64","3","11","냉동기 Plant 최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-PARTIAL","EVIDENCE_PARTIAL","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"58","CASE58","냉각수펌프 설계유량 적용 Test를 통한 펌프 운전점 및 소비동력 최적화","B_52_64","3","11","냉동기 Plant 최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"59","CASE59","CDA 공기압축기 저효율 호기 진단 및 성능저하 원인분석을 통한 효율개선","B_52_64","4","14","공기압축기 시스템 운전최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"60","CASE60","냉동유 첨가제 적용 전·후 kW/RT 비교를 통한 냉동기 효율개선 효과 검증","B_52_64","3","11","냉동기 Plant 최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"61","CASE61","CDA 압축공기 Demand 패턴 분석 및 수요 변동폭 저감을 통한 공기압축기 가동대수 최적화","B_52_64","4","14","공기압축기 시스템 운전최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"62","CASE62","냉각수 입구온도 단계별 Test를 통한 냉동기 최적 운전온도 탐색","B_52_64","3","11","냉동기 Plant 최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"63","CASE63","냉동기 부하율 분석 및 냉수밸브 조정을 통한 고효율 냉동기 고부하 운전 최적화","B_52_64","3","11","냉동기 Plant 최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"64","CASE64","냉동기 가동대수 8대→7대 최적화를 통한 시스템 에너지원단위 개선","B_52_64","3","11","냉동기 Plant 최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"65","CASE65","보일러 호기별 에너지원단위 비교 및 고효율 호기 우선운전을 통한 시스템 효율개선","C_65_69","4","","보일러 시스템 운전최적화","NEW_CHAPTER_CANDIDATE","EVIDENCE-VERIFIED","SYSTEM_METADATA_REVIEW","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"66","CASE66","보일러 부하율과 연료 원단위 상관분석을 통한 가동대수 및 고효율 운전영역 최적화","C_65_69","4","","보일러 시스템 운전최적화","NEW_CHAPTER_CANDIDATE","EVIDENCE-VERIFIED","SYSTEM_METADATA_REVIEW","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"67","CASE67","보일러 배기가스 온도·O₂ 농도와 연료 원단위 상관분석을 통한 연소효율 개선","C_65_69","4","","보일러 시스템 운전최적화","NEW_CHAPTER_CANDIDATE","EVIDENCE-VERIFIED","SYSTEM_METADATA_REVIEW","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"68","CASE68","보일러 스팀유량 계측 이상 진단 및 데이터 정합성 확보를 통한 효율평가 신뢰성 개선","C_65_69","4","","보일러 시스템 운전최적화","NEW_CHAPTER_CANDIDATE","EVIDENCE-VERIFIED","SYSTEM_METADATA_REVIEW|DATA_QUALITY_CASE","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"69","CASE69","보일러 스팀 공급압력 패턴 분석을 통한 적정 증기압력 운전 및 연료손실 저감","C_65_69","4","","보일러 시스템 운전최적화","NEW_CHAPTER_CANDIDATE","EVIDENCE-VERIFIED","SYSTEM_METADATA_REVIEW","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"70","CASE70","데이터센터 PUE 이상분석을 통한 냉방기 Fan 단독운전 문제 진단","D_70_82","5","23","데이터센터 PUE와 냉방 최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"71","CASE71","데이터센터 냉방기 Fan 성능분석을 통한 고효율 EC Fan 교체 및 냉방전력 절감","D_70_82","5","23","데이터센터 PUE와 냉방 최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"72","CASE72","데이터센터 외기조건 분석을 통한 외기냉방 적용시간 확대 및 기계냉방 부하 저감","D_70_82","5","23","데이터센터 PUE와 냉방 최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"73","CASE73","데이터센터 냉각탑 설정온도 최적화를 통한 냉동기·냉각탑 통합 냉방전력 저감","D_70_82","5","23","데이터센터 PUE와 냉방 최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"74","CASE74","다중 데이터센터 PUE·냉방효율 실시간 진단 및 IPOS 성능최적화 플랫폼 구축","D_70_82","5","23","데이터센터 PUE와 냉방 최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"75","CASE75","발전소 호기별 소내전력률 Benchmark를 통한 보조기기 효율편차 진단 및 개선 우선순위 도출","D_70_82","4","19","발전소 보조기기","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","SECTOR_METADATA_MISMATCH_REVIEW","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"76","CASE76","발전소 급수·복수·해수펌프 가동대수와 VFD·유량·압력 통합 운전최적화","D_70_82","4","19","발전소 보조기기","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","SECTOR_METADATA_MISMATCH_REVIEW","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"77","CASE77","데이터센터 지원시설 부하리스트·소비패턴 분석을 통한 상시 Base Load 및 설비운영 개선","D_70_82","5","23","데이터센터 PUE와 냉방 최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"78","CASE78","냉각수펌프별 소비전력·운전상태 비교를 통한 성능열위 펌프 진단 및 운전 최적화","D_70_82","","","","REVIEW_REQUIRED","EVIDENCE-VERIFIED","SECTOR_METADATA_MISMATCH_REVIEW|PLACEMENT_REVIEW","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"79","CASE79","냉방부하·운전대수 분석을 통한 데이터센터 냉수펌프 과다운전 진단 및 운전 최적화","D_70_82","5","23","데이터센터 PUE와 냉방 최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"80","CASE80","냉방부하·냉동기 가동대수 분석을 통한 부분부하 과다운전 진단 및 냉동기 운전조합 최적화","D_70_82","5","23","데이터센터 PUE와 냉방 최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"81","CASE81","외기조건·냉각수온도 분석을 통한 데이터센터 냉각탑 성능열위 진단 및 성능개선","D_70_82","5","23","데이터센터 PUE와 냉방 최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"82","CASE82","Peak·Load Factor 분석을 통한 데이터센터 계약전력 적정성 진단 및 기본요금 절감","D_70_82","5","23","데이터센터 PUE와 냉방 최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
